Report date,Phase,Block,Source,Severity,Status,Issue,Doc,Owner,Assistant,Sheet,Change?,武汉实验室 失效分析汇总
2024/10/29,D.SHIP,2.Power,6.Issue,NA,NA,"[s2]Issue:SOC not change ，always 60%-Wrangler aftersale
Clue: 1. SW setting SOC to 60%  and voltage to 4.2V when fuel gauge not work.
             2. reassembly 2 units battery connector and  issue gone.
Root Cause:  suspect battery connect issue.Why ？waiting for fail unit back 
Solution:     ",link,文亭,李果,,,
2024/6/4,B.PVT,2.Power,5.4 ALT,NA,NA,"Issue: PVT MXC06 Unable to power on 4台
Clue:PMK_VREG_BB is only 0.5V at msm side and 1.2V at PMK7450 2pcs;
          VREG_SYS_1P8在PMK6450端电压为0V,在PM6450端电压正常，2pcs.
Root Cause:PMK_VREG_BB 在Layer11平行屏蔽盖轨迹的地方断开 ；
                      VREG_SYS_1P8在L11层往PMK6450方向屏蔽盖轨迹下断开
Solution: 加宽PMK_VREG_BB 在Layer11平行屏蔽盖轨迹这一段的走线；
                 加宽L11层VREG_SYS_1P8横向走线(未导入PCB)",,敏敏,文亭,Link,,
2024/5/22,B.PVT,3.Charging,5.3 EE DVT,S1,Closed,"Issue: WH178095  EDu15 Soft Shorts test After OTG 2 ohm resistance Soft Short,OTG no function and data transmission no function(10:37 5/20/2024),unable to recovery after restart.D2 
Clue: in OTG mode Vbus is ok but  USB not   (ADB and fastboot can not work too in USB mode )
Root Cause:  sub board TVS on USB D+ damaged （TVS502）. USBD+ is not related to EDU15 test purpose. (short Vbus to GND ,but not D+)
suspect the tester mistake short Vbus to D+ .
Solution:    N/A ,monitor",link,文亭,韩凯,,,
2024/5/9,7.DVT2,5.Camera,5.6 User Feedback,S1,Closed,"Issue: user feedback,录像状态下有主摄有异响
Clue:OISVDD电压3.3V高于模组要求的2.8V
Root Cause:  OISVDD电压3.3V高于模组要求的2.8V，为何回响camera KP分析中
Solution:  change LDO to 2.8V output LDO（PN：SC98D62703）",,韩凯,敏敏,link,,
2024/5/8,7.DVT2,2.Power,5.4 ALT,S2,Closed,"Issue:MXC06 WH177228 Unable to power on:D1/D2(270）
Clue:PMK_VREG_BB is only 0.5V at msm side and 1.2V at PMK7450
Root Cause:PMK_VREG_BB 在Layer11平行屏蔽盖轨迹的地方断开 
Solution: 加宽PMK_VREG_BB 在Layer11平行屏蔽盖轨迹这一段的走线",,敏敏,文亭,Link,,
2024/5/7,7.DVT2,3.Charging,5.6 User Feedback,NA,NA,"issue:Charging  slow in  DF
",,文亭,德太加,link,,
2024/4/3,7.DVT2,7.Sensor,5.4 ALT,S1,Closed,"issue：Wh176592：DVT2一供ALT India 15kV AD capsensor Ch1 no function
Clue1：ch1通路阻值异常，只有100ohm
Clue2：参考通道下地电容耐压只有25V
Clue3：上支架ANT1 LDS pattern距后盖缝隙很近（天线功率不足需要足够LDS pattern需要足够靠近边框天线）
Clue4：R3708 短路 
Root Cause：Ch1线路扛静电能力不足，能量从LDS进入冲击CH1 R3708，导致器  
                        件单体短路，检测通路异常
solution：
                 2、L113 变更为21014050209（27pF，50V耐压）
                 3、改版主板，线路上增加一个TVS预留位
PVT验证",,韩凯,,link,,
2024/4/3,5.DVT1,7.Sensor,5.4 ALT,S3,Closed,"issue: DVT1 2供 ESD Air -8K capsensor no function,recovery after reboot
Clue1：上支架ANT1 LDS pattern距后盖缝隙很近（天线功率不足需要足够LDS pattern需要足够靠近边框天线）
厦门和武汉无法复现",,韩凯,,link,,
2024/4/3,5.DVT1,9.Memory,5.4 ALT,S1,Closed,"issue: Unable to enter system:D5(270) 3/26/2023,
Clue: 1.按power键上电不保持
           2. 按压memory 可以正常开机
rootcause: memory 虚焊，点胶不均匀，memory表面有胶水和屏蔽盖粘连，侧面无明显点胶量，转ME优化点胶",,敏敏,嘉琨,link,5.SW/ME/RF/ANT/Component/MFG/Vendor,
2024/4/2,5.DVT1,2.Power,5.3 EE DVT,S2,Closed,"Issue:DVT LotX tumble Unexpected auto power off:D1（225滚）

clue: 1.  不开机
          2. 接上假电池(没有开机)，量测B_PLUS(VPH_PWR)电压及VBAT端的电流,VBAT上面每隔1s会有1.45A(MAX)的电流，把B_PLUS(VPH_PWR)从4V 拉到3.574V
           3. 加焊后按压还是会自动关机，大概率还是PM8350B本体故障，寄回武汉做PM8350BH 芯片交叉验，问题依旧
            4. PM7325有裂纹和破损，PM7325 VREG_SYS_1P8 ，BAB后，PM7325  VREG_SYS_1P8 电压正常，问题依然是不开机，但是由于板子变形严重，分析截止",,敏敏,,LINK,,
